SAMPLINGDATE,SO2,NO2,RSPM,SPM,,,
16-03-07,5.7,35.8,137,283,,,
20-03-07,5.1,62.9,155,380,,,
22-03-07,5.4,37,115,361,,,
26-03-07,5.1,30.3,170,423,,,
02-04-07,5.3,31.7,89,289,,,
08-04-07,5.2,31.7,89,284,,,
10-04-07,5.1,35,88,282,,,
14-04-07,5.2,35.8,113,371,,,
18-04-07,5.4,34.4,56,179,,,
20-04-07,5.5,32.8,119,311,,,
22-04-07,7.7,39.9,81,347,,,
26-04-07,7,31.6,88,237,,,
28-04-07,5.7,23.4,87,263,,,
02-05-07,5.3,27.2,70,287,,,
04-05-07,4.9,28.7,74,276,,,
08-05-07,12,33.2,75,263,,,
11-05-07,5.6,34.7,89,282,,,
14-05-07,4.8,35.8,82,367,,,
16-05-07,5.4,31.2,91,286,,,
20-05-07,4.9,32.1,71,260,,,
22-05-07,5.1,37.3,78,327,,,
26-05-07,5.2,30,96,298,,,
02-06-07,5.3,31.1,69,311,,,
04-06-07,5.1,32.3,94,246,,,
08-06-07,5,33.4,34,197,,,
10-06-07,5.2,34.2,64,210,,,
16-06-07,5.4,30.5,50,200,,,
18-06-07,5.2,36,58,256,,,
20-06-07,6.1,33.5,40,225,,,
22-06-07,5.1,32.2,67,164,,,
26-06-07,4.8,32.8,80,204,,,
02-07-07,5.6,31.9,97,404,,,
04-07-07,5.7,33.3,81,284,,,
08-07-07,5,32.9,76,403,,,
14-07-07,5.2,33,74,308,,,
16-07-07,5.3,27.7,52,272,,,
24-07-07,4.9,31.4,69,360,,,
26-07-07,5.4,34,71,263,,,
28-07-07,4.7,30.3,69,240,,,
02-08-07,5.1,21.1,52,244,,,
04-08-07,5.4,27.7,63,246,,,
08-08-07,5.4,26.3,69,283,,,
10-08-07,5.2,29.3,48,240,,,
16-08-07,4.9,39.4,54,336,,,
20-08-07,4.9,30,53,137,,,
22-08-07,5.2,27.1,47,238,,,
26-08-07,5.1,32.9,71,231,,,
28-08-07,5.4,26.9,83,222,,,
02-09-07,5.2,28.8,65,168,,,
04-09-07,5.4,30.6,50,163,,,
08-09-07,4.9,27.1,50,147,,,
10-09-07,5.2,26.7,47,187,,,
14-09-07,4.7,31.2,55,142,,,
20-09-07,5.1,29.2,61,160,,,
22-09-07,5.7,27.2,76,265,,,
26-09-07,5.4,31.9,53,245,,,
28-09-07,5.3,31.2,54,233,,,
04-10-07,5.2,30.8,96,296,,,
08-10-07,5.1,28.8,112,339,,,
10-10-07,5.3,31,125,318,,,
14-10-07,5,29.4,96,294,,,
16-10-07,5.2,30.1,113,365,,,
20-10-07,5.1,32.4,76,279,,,
22-10-07,5.4,31.6,100,322,,,
26-10-07,4.9,30.9,83,252,,,
28-10-07,4.9,32.2,102,291,,,
06-11-07,5.4,31,131,358,,,
14-11-07,5.5,38.5,110,431,,,
16-11-07,6.2,41,126,347,,,
18-11-07,5.3,35,133,362,,,
20-11-07,5.6,35.9,101,309,,,
22-11-07,5.7,38.2,140,371,,,
24-11-07,5.4,37.8,135,336,,,
27-11-07,5.5,43.9,135,386,,,
28-11-07,4.9,37.7,141,323,,,
06-12-07,5.3,36.7,122,313,,,
08-12-07,5.3,37.7,131,356,,,
10-12-07,5.5,37.3,133,345,,,
12-12-07,5.2,33.3,124,334,,,
14-12-07,5.6,34.9,121,365,,,
16-12-07,5.5,34.5,111,337,,,
18-12-07,5.5,33.7,115,356,,,
20-12-07,5.4,34,124,351,,,
22-12-07,5.4,32.5,123,331,,,
02-01-08,5.2,31.7,105,311,,,
04-01-08,5.4,35,163,399,,,
08-01-08,5.5,30.3,154,368,,,
10-01-08,5.5,27.2,137,355,,,
14-01-08,4.8,24.7,94,225,,,
21-01-08,5.3,32.2,75,325,,,
22-01-08,5.4,27.7,88,373,,,
23-01-08,5.6,31.3,83,357,,,
28-01-08,5.5,31.2,106,315,,,
29-01-08,5.4,30.9,92,357,,,
02-02-08,5.4,35,102,340,,,
04-02-08,5.5,35,98,341,,,
08-02-08,5.1,34.6,89,353,,,
16-02-08,5.2,27.3,125,330,,,
18-02-08,5.2,30,99,272,,,
20-02-08,5.2,27.5,93,290,,,
22-02-08,5.4,30.3,115,340,,,
24-02-08,5.3,29.2,114,332,,,
28-02-08,5.1,31.3,115,327,,,
02-03-08,5.3,32.4,51,252,,,
04-03-08,5.2,33.5,137,345,,,
08-03-08,5.2,31.6,110,351,,,
10-03-08,5.2,39.7,190,410,,,
14-03-08,5.2,37.1,159,382,,,
16-03-08,5.1,32.9,79,289,,,
20-03-08,5.6,34.7,97,284,,,
22-03-08,5.2,34.7,61,204,,,
26-03-08,5.8,34.3,66,192,,,
02-04-08,5.2,34,114,358,,,
04-04-08,5.5,34.9,94,273,,,
08-04-08,5.4,35,96,263,,,
10-04-08,5.6,33.1,109,313,,,
14-04-08,5.2,33.3,107,306,,,
20-04-08,5.3,33.1,103,299,,,
22-04-08,5.4,35.9,109,329,,,
24-04-08,5.4,34.9,104,301,,,
26-04-08,5.3,35.2,101,275,,,
04-05-08,5.4,34.8,113,322,,,
08-05-08,5.3,34.8,113,325,,,
10-05-08,5.3,34.8,116,323,,,
12-05-08,5.4,35.5,123,355,,,
14-05-08,5.2,32.6,140,424,,,
16-05-08,5.7,34.2,132,364,,,
22-05-08,5.4,33,65,216,,,
26-05-08,5.2,32.8,114,323,,,
02-06-08,5.2,33,67,280,,,
04-06-08,5.2,34.2,60,171,,,
08-06-08,5.1,34.3,100,293,,,
10-06-08,5,36.9,63,272,,,
14-06-08,5.2,33.3,122,360,,,
16-06-08,5.2,34.2,105,300,,,
20-06-08,5.2,33.2,107,312,,,
22-06-08,5.3,31.9,117,337,,,
26-06-08,5.7,36.2,105,304,,,
02-07-08,5.2,34.9,122,351,,,
04-07-08,5.2,34.8,95,273,,,
08-07-08,5.2,35.5,104,307,,,
10-07-08,5.1,34.3,115,322,,,
16-07-08,5.2,34.2,113,346,,,
20-07-08,5.2,34,104,302,,,
22-07-08,5.2,34.8,110,311,,,
24-07-08,5.1,34.5,42,135,,,
26-07-08,5.2,34.3,121,353,,,
02-08-08,5.2,33.3,113,327,,,
08-08-08,5,33.2,97,271,,,
10-08-08,5,32.7,93,255,,,
12-08-08,5.1,33.8,97,272,,,
14-08-08,5.1,34,98,289,,,
16-08-08,5,34.5,97,277,,,
20-08-08,5,34.2,102,312,,,
22-08-08,5.1,33.2,106,315,,,
26-08-08,5,34.3,106,299,,,
02-09-08,5.3,34.8,101,288,,,
04-09-08,5.2,34.6,97,275,,,
10-09-08,5.1,33.2,95,271,,,
12-09-08,5,31.6,95,265,,,
14-09-08,5,34.6,88,255,,,
16-09-08,5.1,28.8,94,273,,,
20-09-08,5,31.1,76,222,,,
22-09-08,5.1,33.3,102,293,,,
26-09-08,5.1,31.4,110,287,,,
02-10-08,5.1,30.3,96,266,,,
04-10-08,5.1,28.3,75,216,,,
08-10-08,5.1,27.8,89,249,,,
10-10-08,5.1,28.6,67,195,,,
14-10-08,5.1,28.6,98,280,,,
16-10-08,5,28.8,101,298,,,
20-10-08,4.8,27.7,97,278,,,
22-10-08,5.1,28.3,95,278,,,
27-10-08,6.5,79,169,364,,,
02-11-08,5.1,27.2,93,237,,,
04-11-08,5.2,28,100,290,,,
08-11-08,5.1,28.5,125,364,,,
12-11-08,5.2,28.2,112,320,,,
14-11-08,5.2,29.2,109,316,,,
16-11-08,5.2,27.8,104,307,,,
20-11-08,5.3,27.7,115,324,,,
22-11-08,4.9,30.3,111,323,,,
26-11-08,4.8,31.1,123,416,,,
02-12-08,5,28.8,109,309,,,
04-12-08,5,28.7,111,318,,,
10-12-08,5,28.2,96,279,,,
12-12-08,5.2,29.2,107,306,,,
14-12-08,5,28,109,304,,,
16-12-08,5.1,28.3,102,304,,,
20-12-08,5.1,28.8,104,293,,,
23-12-08,5,28.7,101,289,,,
26-12-08,5.3,28.7,100,285,,,
02-01-09,5.4,28,101,289,,,
04-01-09,5,28.5,97,289,,,
08-01-09,4.9,28.5,99,283,,,
10-01-09,4.6,27.7,88,266,,,
14-01-09,4.7,25.2,85,255,,,
16-01-09,4.7,29,95,274,,,
20-01-09,4.8,28.6,111,319,,,
22-01-09,4.8,28.7,112,319,,,
28-01-09,5.1,28.8,107,311,,,
02-02-09,5.4,28.7,109,316,,,
04-02-09,4.8,28.7,115,330,,,
08-02-09,5.2,28.7,121,358,,,
10-02-09,4.9,27.7,138,366,,,
14-02-09,4.7,28.5,113,324,,,
16-02-09,4.9,28.3,111,317,,,
20-02-09,5,26.9,120,340,,,
22-02-09,5.1,28,106,301,,,
26-02-09,5.1,29.1,105,296,,,
02-03-09,5.2,29,129,372,,,
04-03-09,5.2,28.5,119,345,,,
08-03-09,5.1,28.4,130,377,,,
10-03-09,5.4,28,119,351,,,
14-03-09,4.6,27.4,115,341,,,
16-03-09,5.2,27.7,104,312,,,
20-03-09,5.4,28.1,114,334,,,
22-03-09,5.1,28,109,310,,,
26-03-09,5.1,28,115,344,,,
02-04-09,5.2,27.7,123,362,,,
04-04-09,5.1,27,114,330,,,
08-04-09,5.4,28.3,115,330,,,
10-04-09,4.7,26.5,89,250,,,
14-04-09,4.7,25.8,106,295,,,
16-04-09,5.2,25.5,115,334,,,
20-04-09,5,27.8,105,302,,,
22-04-09,5.2,27.5,113,329,,,
26-04-09,5.1,26.2,110,326,,,
02-05-09,5.1,27,123,365,,,
04-05-09,5.2,25.7,109,328,,,
08-05-09,5.2,25.8,115,333,,,
10-05-09,5.2,27.2,115,344,,,
14-05-09,5.2,26.4,106,316,,,
16-05-09,5.1,26.3,97,301,,,
20-05-09,5.2,26.3,88,267,,,
22-05-09,5.1,27.5,112,328,,,
26-05-09,4.7,26.8,96,284,,,
02-06-09,5,26.3,114,325,,,
04-06-09,5.1,24.7,113,329,,,
10-06-09,5,27.1,93,284,,,
14-06-09,4.8,25.7,109,322,,,
16-06-09,4.9,25.5,109,314,,,
20-06-09,5,24.7,110,322,,,
28-06-09,5,27.1,118,339,,,
29-06-09,5.3,27.8,80,237,,,
30-06-09,5,25.6,73,214,,,
02-07-09,5,25.8,55,158,,,
04-07-09,5.1,24.4,65,194,,,
08-07-09,4.6,24.1,75,212,,,
10-07-09,4.9,24.2,70,196,,,
14-07-09,4.5,25.4,85,242,,,
16-07-09,4.4,24.6,72,199,,,
20-07-09,5,26,96,292,,,
22-07-09,5,25.8,55,162,,,
26-07-09,5,25.9,96,290,,,
02-08-09,4.7,26.4,108,321,,,
04-08-09,5.2,25.1,80,246,,,
08-08-09,4.9,25.9,108,261,,,
10-08-09,5.2,25.4,92,246,,,
14-08-09,5,25.8,81,236,,,
16-08-09,4.4,24.6,73,219,,,
20-08-09,5.1,25.5,63,177,,,
22-08-09,5.1,24.8,57,172,,,
26-08-09,5,22.9,52,160,,,
02-09-09,5,24,58,177,,,
08-09-09,4.8,24.7,80,240,,,
10-09-09,5.2,26.3,92,284,,,
14-09-09,4.4,23.7,90,272,,,
16-09-09,4.6,23.8,97,281,,,
20-09-09,4.7,23.3,94,269,,,
22-09-09,4.8,24.2,90,261,,,
26-09-09,4.8,24.3,102,300,,,
28-09-09,4.7,23.4,91,280,,,
02-10-09,5.2,24.1,50,144,,,
04-10-09,5.1,23.4,40,141,,,
08-10-09,5.1,27,67,235,,,
10-10-09,5,25.1,98,300,,,
14-10-09,4.9,24,97,289,,,
16-10-09,4.3,39.9,220,458,,,
18-10-09,12.4,47.8,223,484,,,
20-10-09,4.9,25.4,100,303,,,
22-10-09,5.2,25.1,106,305,,,
02-11-09,5.3,26.7,98,297,,,
04-11-09,5.4,27.5,101,298,,,
08-11-09,5.2,27.3,129,307,,,
10-11-09,5.6,27,100,261,,,
14-11-09,4.9,27,76,233,,,
16-11-09,5.2,26.5,100,280,,,
20-11-09,4.9,24.5,102,295,,,
22-11-09,5.1,26.5,105,303,,,
26-11-09,5,26.4,106,285,,,
02-12-09,4.6,26.5,101,303,,,
04-12-09,5.5,30.1,94,291,,,
08-12-09,4.8,26.7,95,265,,,
10-12-09,5.2,29.5,111,311,,,
14-12-09,5.5,28.9,122,353,,,
16-12-09,5.8,28.9,105,284,,,
20-12-09,5,26.5,136,356,,,
22-12-09,5.1,28.7,130,314,,,
26-12-09,12.5,24.2,111,320,,,
02-01-10,5.3,26.9,106,311,,,
04-01-10,5.2,27.3,121,336,,,
08-01-10,5.3,27.8,128,338,,,
10-01-10,5,29.4,113,303,,,
14-01-10,5.7,28.3,106,316,,,
16-01-10,5.3,25.9,108,284,,,
20-01-10,4.9,24.4,105,275,,,
22-01-10,5.2,27.1,128,370,,,
26-01-10,5.4,28.5,135,400,,,
